date,open,close,high,low,volume,money
2010/7/15,3817.18,3735.39,3850.2,3735.28,3271061200,32298131893
2010/7/16,3713.66,3757.43,3764.84,3672.02,2798721100,27600903233
2010/7/19,3718.13,3842.31,3848.63,3701.93,3507423600,35450370675
2010/7/20,3849.04,3951.36,3951.54,3848.74,5268350400,53568899401
2010/7/21,3953.77,3959.43,4001.43,3937.48,5204248800,53476581398
2010/7/22,3947.99,4017.86,4018.06,3940.46,4617888300,47106980662
2010/7/23,4020.91,4015.47,4028.51,3965.7,4471046200,46308730057
2010/7/26,4023.06,4071.09,4071.47,4011.75,4385787200,45616827287
2010/7/27,4062.25,4068.86,4091.31,4041.9,4106628300,44196726341
2010/7/28,4061.02,4162.32,4162.66,4050.19,5790200700,60592221791
2010/7/29,4170.76,4194.04,4196.03,4139.94,6274903600,65227335259
2010/7/30,4181.22,4191.13,4203.64,4137.23,4729828900,50667632330
2010/8/2,4192.66,4267.9,4268.4,4192.52,5427313500,59062482231
2010/8/3,4277.27,4193.64,4289.46,4193.3,5940590400,64726165563
2010/8/4,4178.19,4248.01,4248.23,4137.65,5468676200,58648962922
2010/8/5,4247.05,4267.95,4306.65,4231.47,5841457800,63443746766
2010/8/6,4260.63,4356.01,4356.21,4228.67,6369627500,70480316869
2010/8/9,4357.18,4413.57,4414.53,4352.92,5999110400,68485215594
2010/8/10,4412.27,4246.46,4417.2,4246.46,6248551200,70276303657
2010/8/11,4230.35,4297.9,4309.79,4230.35,4263884600,48885246287
2010/8/12,4248.98,4241.59,4317.95,4228.53,4532665300,50452832153
2010/8/13,4240.49,4323.05,4323.25,4212.2,4184958500,47223939591
2010/8/16,4322.02,4423.31,4429.9,4315.02,5625259300,64397295510
2010/8/17,4436.38,4457.76,4470.46,4414.21,5691170200,65233930026
2010/8/18,4462.58,4457.13,4475.92,4409.59,5689720800,66186523274
2010/8/19,4456.27,4461.49,4491.74,4423.99,5931286200,69453948181
2010/8/20,4442.69,4366.6,4444.85,4350.15,5829874700,67406500780
2010/8/23,4363.17,4404.72,4416.83,4362.72,4853665600,57536487541
2010/8/24,4401.52,4456.5,4476.26,4370.57,5469966300,61869732806
2010/8/25,4428.36,4368.3,4457.84,4364.06,5428539800,61248578213
2010/8/26,4376.92,4399.28,4415.84,4355.03,4240153800,49385699907
2010/8/27,4393.99,4431.44,4437.79,4375.39,3694988900,44850459127
2010/8/30,4453.05,4553.02,4553.4,4453.05,5541290600,68586090938
2010/8/31,4541.77,4589.29,4605.18,4529.73,5906349100,74996655162
2010/9/1,4595.21,4530.23,4613.09,4473.57,6464895300,81001129824
2010/9/2,4562.43,4625.4,4631,4545.79,6512640000,79502107728
2010/9/3,4632.26,4662.96,4671.34,4596.12,6759264100,83823849428
2010/9/6,4682.26,4651.96,4692.11,4616.07,6424395900,78525354466
2010/9/7,4650.95,4679.94,4680.33,4613.39,5416786500,63524390405
2010/9/8,4660.9,4720.38,4723.83,4644.35,5522650400,67062076447
2010/9/9,4730.86,4658.01,4746.03,4649.04,7024723000,85740639096
2010/9/10,4655.7,4705.31,4712.56,4593.45,6231407600,76778297278
2010/9/13,4713.06,4789.69,4791.48,4707.36,6235460200,79905971712
2010/9/14,4796.46,4805.42,4821.55,4770.36,6104981400,77135510983
2010/9/15,4802.61,4730.14,4802.61,4712.53,6025628700,73694005503
2010/9/16,4721.56,4610.92,4739.43,4558.4,5601623100,68031791205
2010/9/17,4616.57,4603.49,4646.2,4575.79,4208531700,52286715108
2010/9/20,4608.85,4553.12,4622.51,4531.48,3880639200,47217098701
2010/9/21,4561.67,4546.72,4576.04,4516.61,2851413200,34583857549
2010/9/27,4570.61,4673.6,4673.76,4570.61,3648028400,45209839911
2010/9/28,4672.15,4654.35,4695.04,4643.17,4167801400,52795715767
2010/9/29,4648.16,4590.32,4659.56,4577.4,3995348400,49445705332
2010/9/30,4564.81,4660.6,4660.6,4553.96,3528901900,44293603190
2010/10/8,4696.38,4767.97,4787.45,4691.64,5155148900,65487956706
2010/10/11,4784.65,4789.15,4825.35,4746.54,7659541200,98047935947
2010/10/12,4772.91,4806.03,4808.13,4748.74,6783344000,85283330571
2010/10/13,4808.39,4836.74,4838.86,4765.94,7737040400,97139603152
2010/10/14,4842.69,4679.55,4848.86,4675.38,7571346200,96047452541
2010/10/15,4654.27,4691.45,4719.93,4638.24,7182738700,92543159845
2010/10/18,4699.03,4636.64,4701.16,4545.07,8367456000,1.02226E+11
2010/10/19,4637.96,4778.61,4779.11,4637.05,6516314300,80300991645
2010/10/20,4682.65,4794.19,4828.9,4661.19,7663805700,97102747642
2010/10/21,4805.7,4833.8,4844.54,4771.61,6789941400,86005617696
2010/10/22,4837.33,4877.93,4892.62,4826.82,6607192200,86069665286
2010/10/25,4894.85,4998.5,4998.89,4894.81,8102924700,1.06747E+11
2010/10/26,5010.02,5046.15,5046.65,4983.84,8913849000,1.17511E+11
2010/10/27,5046.21,4994.77,5088.85,4976.71,8049167800,1.06578E+11
2010/10/28,4978.54,4999.59,5020.07,4952.71,6178162100,80933229821
2010/10/29,5005.66,5055.49,5068.7,4992.81,6547187700,88982925507
2010/11/1,5072.76,5199.52,5199.81,5072.76,8523837700,1.18635E+11
2010/11/2,5211.47,5173.07,5272.45,5171.5,9686436800,1.36199E+11
2010/11/3,5165.91,5098.54,5197.96,5096.46,7631712400,1.06056E+11
2010/11/4,5104.77,5228.3,5228.92,5104.77,7612600900,1.03398E+11
2010/11/5,5274.57,5311.77,5313.48,5244.38,8950490800,1.21087E+11
2010/11/8,5338.51,5431.09,5431.39,5330.51,9507648700,1.26109E+11
